alpha,capacity_ratio,allkeys-lfu,allkeys-lru,lfu_minus_lru
0.8,0.1,0.49840666666666666,0.4065433333333333,0.09186333333333335
1.0,0.05,0.6260133333333333,0.5196299999999999,0.10638333333333339
1.0,0.1,0.7165900000000001,0.6513622222222223,0.06522777777777777
1.0,0.2,0.79727,0.7662216666666667,0.031048333333333344
1.2,0.1,0.8771166666666667,0.8518283333333332,0.025288333333333468
