distribution,alpha,capacity_ratio,policy,n,redis_hit_rate_mean,redis_hit_rate_std,redis_hit_rate_se,redis_hit_rate_ci95_low,redis_hit_rate_ci95_high,theory_design_mean,theory_actual_mean,abs_error_actual_mean,abs_error_actual_std,abs_error_actual_ci95_low,abs_error_actual_ci95_high,C_design,C_actual_mean,C_actual_std
uniform,,0.1,allkeys-lru,3,0.0989,0.008985861116220304,0.005187989334350384,0.07657788352892285,0.12122211647107715,0.10000000000000002,0.08793333333333332,0.010966666666666666,0.0003768730997740932,0.010030461986985198,0.011902871346348135,1000,879.3333333333334,93.2541330630087
zipf,0.6,0.1,allkeys-lru,3,0.22202,0.002069081922012762,0.0011945850046494566,0.21688011556889092,0.22715988443110907,0.38613537183108865,0.35667766603075024,0.13465766603075016,0.002170296290046987,0.1292663511710394,0.14004898089046092,1000,828.3333333333334,0.5773502691896257
zipf,0.8,0.1,allkeys-lfu,3,0.49840666666666666,0.002775974303435371,0.0016027095113518954,0.4915107642127385,0.5053025691205949,0.5706175855129897,0.5437713078966148,0.04536464122994802,0.0027759743034353407,0.038468738776019896,0.05226054368387615,1000,830.0,0.0
zipf,0.8,0.1,allkeys-lru,6,0.4065433333333333,0.0020754726369351688,0.0008473081559333085,0.4043652583785046,0.408721408288162,0.5706175855129897,0.543543958579671,0.13700062524633752,0.002002434163331174,0.1348991994687925,0.13910205102388254,1000,828.6666666666666,0.816496580927726
zipf,1.0,0.05,allkeys-lfu,3,0.6260133333333333,0.0014695010491092737,0.0008484168262776768,0.6223628903598295,0.6296637763068371,0.6940229720091814,0.6370255081492825,0.0110121748159491,0.0014695010491092776,0.007361731842445307,0.014662617789452891,500,286.0,0.0
zipf,1.0,0.05,allkeys-lru,6,0.5196299999999999,0.001341849469948089,0.000547807752166148,0.5182218153428608,0.521038184657139,0.6940229720091812,0.6359485362147875,0.11631853621478759,0.0011404580354037726,0.11512169890662911,0.11751537352294607,500,283.0,1.6733200530681511
zipf,1.0,0.1,allkeys-lfu,3,0.7165900000000001,0.0024653802952080473,0.0014233879770931652,0.7104656558349435,0.7227143441650566,0.764790780603953,0.7456818276286433,0.029091827628643267,0.0026011368712740243,0.022630245433367273,0.03555340982391926,1000,829.3333333333334,1.1547005383792517
zipf,1.0,0.1,allkeys-lru,9,0.6513622222222223,0.0015643031817535998,0.0005214343939178666,0.65015979235361,0.6525646520908346,0.7647907806039529,0.7456545223642798,0.09429230014205749,0.0015581624036853506,0.09309459049331813,0.09549000979079685,1000,829.1111111111111,0.33333333333333337
zipf,1.0,0.2,allkeys-lfu,3,0.79727,0.001509999999999989,0.0008717989064763286,0.7935189520553035,0.8010210479446965,0.8355841125492963,0.8313079374001205,0.0340379374001206,0.001510000000000001,0.030286889455424085,0.037788985344817116,2000,1918.0,0.0
zipf,1.0,0.2,allkeys-lru,6,0.7662216666666667,0.001183273707417975,0.00048306946820422553,0.7649798970663504,0.767463436266983,0.8355841125492963,0.8313079374001208,0.06508627073345397,0.0011832737074179884,0.06384450113313768,0.06632804033377025,2000,1918.0,0.0
zipf,1.0,0.3,allkeys-lru,3,0.8249733333333333,0.001113567839573951,0.0006429186919389306,0.8222070774684896,0.827739589198177,0.8770019817254792,0.8759409099129979,0.05096757657966453,0.0011135678395739778,0.04820132071482075,0.053733832444508314,3000,2969.0,0.0
zipf,1.0,0.4,allkeys-lru,3,0.8701,0.0020556993943667773,0.0011868585987106096,0.8649933596104944,0.8752066403895056,0.9063902109591405,0.908763136086732,0.038663136086731935,0.0020556993943667817,0.03355649569722638,0.04376977647623749,4000,4094.0,0.0
zipf,1.2,0.1,allkeys-lfu,3,0.8771166666666667,0.0010725825531553654,0.0006192558257923463,0.8744522238974409,0.8797811094358924,0.9034454900897962,0.8934718325138759,0.0163551658472091,0.0010016562751882778,0.013866913719833368,0.01884341797458483,1000,829.3333333333334,1.1547005383792517
zipf,1.2,0.1,allkeys-lru,6,0.8518283333333332,0.001234834671794842,0.0005041191437657497,0.8505324538193724,0.853124212847294,0.9034454900897962,0.8934827258378696,0.04165439250453628,0.0012660858225127152,0.040325716919224416,0.04298306808984814,1000,829.5,1.224744871391589
