distribution,alpha,capacity_ratio,policy,N,C_design,C_actual_mean,C_actual_std,theory_design_mean,theory_actual_mean,redis_hit_rate_mean,redis_hit_rate_std,error_design_mean,abs_error_design_mean,error_actual_mean,abs_error_actual_mean,repeat_count
zipf,0.8,0.1,allkeys-lfu,10000,1000,830.0,0.0,0.5706175855129897,0.5437713078966148,0.49840666666666666,0.002775974303435366,-0.07221091884632297,0.07221091884632297,-0.04536464122994808,0.04536464122994808,3
zipf,0.8,0.1,allkeys-lru,10000,1000,828.6666666666666,0.8164965809277269,0.5706175855129897,0.543543958579671,0.4065433333333333,0.0020754726369351753,-0.16407425217965632,0.16407425217965632,-0.13700062524633758,0.13700062524633758,6
zipf,1.0,0.05,allkeys-lfu,10000,500,286.0,0.0,0.6940229720091814,0.6370255081492825,0.6260133333333333,0.0014695010491092453,-0.0680096386758479,0.0680096386758479,-0.011012174815949146,0.011012174815949146,3
zipf,1.0,0.05,allkeys-lru,10000,500,283.0,1.6733200530681493,0.6940229720091814,0.6359485362147875,0.5196299999999999,0.001341849469948086,-0.17439297200918127,0.17439297200918127,-0.1163185362147876,0.1163185362147876,6
zipf,1.0,0.1,allkeys-lfu,10000,1000,829.3333333333334,1.1547005383792432,0.764790780603953,0.7456818276286433,0.7165900000000001,0.002465380295208051,-0.048200780603952796,0.048200780603952796,-0.0290918276286433,0.0290918276286433,3
zipf,1.0,0.1,allkeys-lru,10000,1000,829.1111111111111,0.3333333333333381,0.7647907806039529,0.7456545223642798,0.6513622222222222,0.0015643031817535807,-0.11342855838173065,0.11342855838173065,-0.09429230014205753,0.09429230014205753,9
zipf,1.0,0.2,allkeys-lfu,10000,2000,1918.0,0.0,0.8355841125492963,0.8313079374001205,0.79727,0.0015099999999999573,-0.03831411254929623,0.03831411254929623,-0.03403793740012062,0.03403793740012062,3
zipf,1.0,0.2,allkeys-lru,10000,2000,1918.0,0.0,0.8355841125492963,0.8313079374001205,0.7662216666666667,0.0011832737074179954,-0.06936244588262959,0.06936244588262959,-0.06508627073345398,0.06508627073345398,6
zipf,1.2,0.1,allkeys-lfu,10000,1000,829.3333333333334,1.1547005383792432,0.9034454900897962,0.8934718325138759,0.8771166666666667,0.0010725825531553654,-0.026328823423129533,0.026328823423129533,-0.01635516584720916,0.01635516584720916,3
zipf,1.2,0.1,allkeys-lru,10000,1000,829.5,1.224744871391589,0.9034454900897962,0.8934827258378696,0.8518283333333333,0.001234834671794854,-0.051617156756462855,0.051617156756462855,-0.04165439250453632,0.04165439250453632,6
