N,C,capacity_ratio,distribution,alpha,policy,warmup_T,measure_T,seed,avg_key_size,maxmemory_bytes,dbsize_after,theory_hit_rate,redis_hit_rate,hits,misses,error,abs_error,theory_hit_rate_actual,error_actual,abs_error_actual
10000,1000,0.1,uniform,,allkeys-lru,50000,100000,20240601,251.92,1229256,987,0.1,0.10927,10927,89073,0.00927,0.00927,0.0987,0.01057000000000001,0.01057000000000001
10000,1000,0.1,uniform,,allkeys-lru,50000,100000,20240602,251.92,1193424,824,0.1,0.09341,9341,90659,-0.0065899999999999,0.0065899999999999,0.0824,0.011010000000000006,0.011010000000000006
10000,1000,0.1,uniform,,allkeys-lru,50000,100000,20240603,251.92,1193424,827,0.1,0.09402,9402,90598,-0.0059799999999999,0.0059799999999999,0.0827,0.01132000000000001,0.01132000000000001
10000,1000,0.1,zipf,0.6,allkeys-lru,50000,100000,20240701,251.92,1193424,828,0.3861353718310886,0.22261,22261,77739,-0.1635253718310886,0.1635253718310886,0.3566170758184169,-0.1340070758184169,0.1340070758184169
10000,1000,0.1,zipf,0.6,allkeys-lru,50000,100000,20240702,251.92,1193424,829,0.3861353718310886,0.21972,21972,78028,-0.1664153718310886,0.1664153718310886,0.3567988464554169,-0.13707884645541688,0.13707884645541688
10000,1000,0.1,zipf,0.6,allkeys-lru,50000,100000,20240703,251.92,1193424,828,0.3861353718310886,0.22373,22373,77627,-0.1624053718310885,0.1624053718310885,0.3566170758184169,-0.13288707581841688,0.13288707581841688
10000,1000,0.1,zipf,0.8,allkeys-lru,50000,100000,20240801,251.92,1193424,829,0.5706175855129897,0.40465,40465,59535,-0.1659675855129896,0.1659675855129896,0.5436008576290039,-0.1389508576290039,0.1389508576290039
10000,1000,0.1,zipf,0.8,allkeys-lru,50000,100000,20240802,251.92,1193424,829,0.5706175855129897,0.40625,40625,59375,-0.1643675855129897,0.1643675855129897,0.5436008576290039,-0.1373508576290039,0.1373508576290039
10000,1000,0.1,zipf,0.8,allkeys-lru,50000,100000,20240803,251.92,1193424,829,0.5706175855129897,0.40907,40907,59093,-0.1615475855129897,0.1615475855129897,0.5436008576290039,-0.1345308576290039,0.1345308576290039
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20240901,251.92,1193424,829,0.7647907806039529,0.65401,65401,34599,-0.1107807806039529,0.1107807806039529,0.7456408449841242,-0.09163084498412422,0.09163084498412422
