distribution,alpha,capacity_ratio,policy,N,C_design,C_actual_mean,C_actual_std,theory_design_mean,theory_actual_mean,redis_hit_rate_mean,redis_hit_rate_std,error_design_mean,abs_error_design_mean,error_actual_mean,abs_error_actual_mean,repeat_count
zipf,1.0,0.05,allkeys-lru,10000,500,283.0,1.6733200530681493,0.6940229720091814,0.6359485362147875,0.5196299999999999,0.001341849469948086,-0.17439297200918127,0.17439297200918127,-0.1163185362147876,0.1163185362147876,6
zipf,1.0,0.1,allkeys-lru,10000,1000,829.1111111111111,0.3333333333333381,0.7647907806039529,0.7456545223642798,0.6513622222222222,0.0015643031817535807,-0.11342855838173065,0.11342855838173065,-0.09429230014205753,0.09429230014205753,9
zipf,1.0,0.2,allkeys-lru,10000,2000,1918.0,0.0,0.8355841125492963,0.8313079374001205,0.7662216666666667,0.0011832737074179954,-0.06936244588262959,0.06936244588262959,-0.06508627073345398,0.06508627073345398,6
zipf,1.0,0.3,allkeys-lru,10000,3000,2969.0,0.0,0.8770019817254792,0.8759409099129979,0.8249733333333333,0.0011135678395739353,-0.05202864839214583,0.05202864839214583,-0.05096757657966459,0.05096757657966459,3
zipf,1.0,0.4,allkeys-lru,10000,4000,4094.0,0.0,0.9063902109591405,0.908763136086732,0.8701,0.002055699394366747,-0.0362902109591406,0.0362902109591406,-0.038663136086732,0.038663136086732,3
