distribution,alpha,capacity_ratio,policy,N,C_design,C_actual_mean,C_actual_std,theory_design_mean,theory_actual_mean,redis_hit_rate_mean,redis_hit_rate_std,error_design_mean,abs_error_design_mean,error_actual_mean,abs_error_actual_mean,repeat_count
uniform,,0.1,allkeys-lru,10000,1000,879.3333333333334,93.25413306300872,0.10000000000000002,0.08793333333333332,0.0989,0.008985861116220309,-0.0010999999999999333,0.007279999999999933,0.010966666666666675,0.010966666666666675,3
zipf,0.6,0.1,allkeys-lru,10000,1000,828.3333333333334,0.577350269189634,0.38613537183108865,0.35667766603075024,0.22202,0.002069081922012765,-0.16411537183108857,0.16411537183108857,-0.13465766603075022,0.13465766603075022,3
zipf,0.8,0.1,allkeys-lru,10000,1000,828.6666666666666,0.8164965809277269,0.5706175855129897,0.543543958579671,0.4065433333333333,0.0020754726369351753,-0.16407425217965632,0.16407425217965632,-0.13700062524633758,0.13700062524633758,6
zipf,1.0,0.1,allkeys-lru,10000,1000,829.1111111111111,0.3333333333333381,0.7647907806039529,0.7456545223642798,0.6513622222222222,0.0015643031817535807,-0.11342855838173065,0.11342855838173065,-0.09429230014205753,0.09429230014205753,9
zipf,1.2,0.1,allkeys-lru,10000,1000,829.5,1.224744871391589,0.9034454900897962,0.8934827258378696,0.8518283333333333,0.001234834671794854,-0.051617156756462855,0.051617156756462855,-0.04165439250453632,0.04165439250453632,6
